RT(milliseconds),TIC
5470,906939
5480,906318
5490,906328
5500,906353
5510,906332
5520,906086
5530,906289
5540,906256
5550,906127
5560,906093
5570,906695
5580,906929
5590,906968
5600,906826
5610,906985
5620,906842
5630,906548
5640,906386
5650,906332
5660,906598
5670,906756
5680,906836
5690,906929
5700,906712
5710,906468
5720,906339
5730,906356
5740,906649
5750,906536
5760,906539
5770,906233
5780,906067
5790,906076
5800,906370
5810,906821
5820,906894
5830,906643
5840,906435
5850,906149
5860,906199
5870,906317
5880,906779
5890,906797
5900,906829
5910,906649
5920,906910
5930,906903
5940,907189
5950,907050
5960,906770
5970,906686
5980,906806
5990,906930
6000,906584
6010,906616
6020,906721
6030,906714
6040,906624
6050,906371
6060,906529
6070,906364
6080,906488
6090,906548
6100,906689
6110,906692
6120,906742
6130,906835
6140,906986
6150,906898
6160,906911
6170,906979
6180,907173
6190,907093
6200,906771
6210,906498
6220,906406
6230,906689
6240,906758
6250,906776
6260,906607
6270,906510
6280,906498
6290,906560
6300,906396
6310,906474
6320,906551
6330,906723
6340,906984
6350,907083
6360,906905
6370,906735
6380,906725
6390,906995
6400,906502
6410,906170
6420,906152
6430,906425
6440,906366
6450,906182
6460,906241
6470,906555
6480,906820
6490,906799
6500,906659
6510,906564
6520,906789
6530,906956
6540,906978
6550,906840
6560,906606
6570,906953
6580,906914
6590,907036
6600,906570
6610,906311
6620,906123
6630,906232
6640,906683
6650,907001
6660,907194
6670,906836
6680,906571
6690,906739
6700,906901
6710,906869
6720,906471
6730,906527
6740,906663
6750,906711
6760,906772
6770,906728
6780,906785
6790,906683
6800,906588
6810,906276
6820,906163
6830,906326
6840,906453
6850,906380
6860,906369
6870,906376
6880,906318
6890,906331
6900,906579
6910,906908
6920,906856
6930,906791
6940,906787
6950,906800
6960,906776
6970,906649
6980,906626
6990,906660
7000,906916
7010,906930
7020,906962
7030,906534
7040,906532
7050,906148
7060,906251
7070,906503
7080,906880
7090,906938
7100,906690
7110,906394
7120,906486
7130,906575
7140,906670
7150,906749
7160,906603
7170,906985
7180,906954
7190,906997
7200,906731
7210,906861
7220,906825
7230,906716
7240,906379
7250,906303
7260,906386
7270,906640
7280,906621
7290,906505
7300,906143
7310,906263
7320,906441
7330,906516
7340,906727
7350,906848
7360,907003
7370,906851
7380,906983
7390,907361
7400,907494
7410,907266
7420,906815
7430,906506
7440,906454
7450,906623
7460,906670
7470,906562
7480,906556
7490,906551
7500,906556
7510,906685
7520,906765
7530,906619
7540,906073
7550,906286
7560,906800
7570,907390
7580,907368
7590,907059
7600,906734
7610,906744
7620,907055
7630,907136
7640,906918
7650,906614
7660,906622
7670,906901
7680,907130
7690,907089
7700,906618
7710,906530
7720,906598
7730,906786
7740,906638
7750,906476
7760,906459
7770,906531
7780,906405
7790,906524
7800,906898
7810,907271
7820,907315
7830,906842
7840,906587
7850,906401
7860,906557
7870,906616
7880,906631
7890,906720
7900,906981
7910,907190
7920,907124
7930,906735
7940,906488
7950,906090
7960,906160
7970,906340
7980,906380
7990,906384
8000,906287
8010,906512
8020,906710
8030,907172
8040,907282
8050,907265
8060,906983
8070,906913
8080,906934
8090,906997
8100,907134
8110,906873
8120,906636
8130,906551
8140,906880
8150,906886
8160,906922
8170,906948
8180,906936
8190,906819
8200,906515
8210,906476
8220,906353
8230,906465
8240,906652
8250,906641
8260,906621
8270,906754
8280,906983
8290,906594
8300,906331
8310,906489
8320,906849
8330,906849
8340,906764
8350,906785
8360,906961
8370,906857
8380,906946
8390,906911
8400,906817
8410,906983
8420,906842
8430,906928
8440,906855
8450,906893
8460,906766
8470,906636
8480,906591
8490,906572
8500,906725
8510,906915
8520,907238
8530,907044
8540,906950
8550,906812
8560,906763
8570,906785
8580,906764
8590,906776
8600,906570
8610,906602
8620,906610
8630,906630
8640,906399
8650,906619
8660,906986
8670,907143
8680,907267
8690,907150
8700,907119
8710,906638
8720,906350
8730,906223
8740,906575
8750,906760
8760,906743
8770,906580
8780,906603
8790,906868
8800,906774
8810,906578
8820,906620
8830,906553
8840,906725
8850,906540
8860,906588
8870,906548
8880,906660
8890,906475
8900,906206
8910,906115
8920,906724
8930,906877
8940,906833
8950,906805
8960,907260
8970,907268
8980,907059
8990,906833
9000,906835
9010,906992
9020,906863
9030,906767
9040,906566
9050,906758
9060,906824
9070,906536
9080,906082
9090,906191
9100,906269
9110,906461
9120,906335
9130,906406
9140,906510
9150,906550
9160,906684
9170,906696
9180,906860
9190,906863
9200,906745
9210,906576
9220,906801
9230,906784
9240,906674
9250,906299
9260,906505
9270,906730
9280,906846
9290,906778
9300,906872
9310,906835
9320,906633
9330,906435
9340,906350
9350,906519
9360,906579
9370,906923
9380,906824
9390,906536
9400,906230
9410,906389
9420,906962
9430,907261
9440,907203
9450,907065
9460,906893
9470,906917
9480,907059
9490,906773
9500,906812
9510,906724
9520,907166
9530,907171
9540,906926
9550,906757
9560,906801
9570,906925
9580,906933
9590,906878
9600,906908
9610,906936
9620,907005
9630,907141
9640,907141
9650,907105
9660,906716
9670,906561
9680,906354
9690,906791
9700,906964
9710,907183
9720,907080
9730,906989
9740,906949
9750,906723
9760,906626
9770,906460
9780,906639
9790,906896
9800,906960
9810,906933
9820,906830
9830,906739
9840,906809
9850,906776
9860,906943
9870,906797
9880,906743
9890,906755
9900,906931
9910,907088
9920,907112
9930,906797
9940,906566
9950,906336
9960,906281
9970,906426
9980,906744
9990,907118
10000,907045
10010,907060
10020,906988
10030,907121
10040,907156
10050,907046
10060,906872
10070,906815
10080,906881
10090,907067
10100,907048
10110,906873
10120,906898
10130,906703
10140,906651
10150,906506
10160,906496
10170,906697
10180,906617
10190,906427
10200,906204
10210,906375
10220,906661
10230,906514
10240,906472
10250,906470
10260,906806
10270,906821
10280,906805
10290,907044
10300,907396
10310,907733
10320,907446
10330,906926
10340,906388
10350,906601
10360,907001
10370,907136
10380,906958
10390,906741
10400,906713
10410,906448
10420,906654
10430,906993
10440,907276
10450,907038
10460,907091
10470,907229
10480,907218
10490,906797
10500,906328
10510,905831
10520,906066
10530,906489
10540,907023
10550,906909
10560,906774
10570,906709
10580,906868
10590,907042
10600,907186
10610,907293
10620,907153
10630,906908
10640,906746
10650,906817
10660,907121
10670,907029
10680,906847
10690,906799
10700,906893
10710,906922
10720,906782
10730,906714
10740,906904
10750,906772
10760,906684
10770,906395
10780,906510
10790,906740
10800,906915
10810,906908
10820,906821
10830,906598
10840,906430
10850,906144
10860,906544
10870,906937
10880,907216
10890,907071
10900,906750
10910,906413
10920,906254
10930,906330
10940,906524
10950,906592
10960,906774
10970,906613
10980,906410
10990,906305
11000,906354
11010,906661
11020,906733
11030,906850
11040,906924
11050,906611
11060,906530
11070,906333
11080,906624
11090,906591
11100,906404
11110,906054
11120,906343
11130,906496
11140,906757
11150,906818
11160,906786
11170,906722
11180,906636
11190,906975
11200,907129
11210,907214
11220,907108
11230,907022
11240,906815
11250,906842
11260,906939
11270,907012
11280,906985
11290,907248
11300,907260
11310,906892
11320,906336
11330,906144
11340,906242
11350,906392
11360,906428
11370,906428
11380,906476
11390,906601
11400,906651
11410,906665
11420,906757
11430,906691
11440,906239
11450,905996
11460,906198
11470,906814
11480,906872
11490,906981
11500,906896
11510,906903
11520,906936
11530,906861
11540,907033
11550,906634
11560,906685
11570,906491
11580,906476
11590,906361
11600,906301
11610,906755
11620,906939
11630,907039
11640,907043
11650,906799
11660,906911
11670,906845
11680,907204
11690,907190
11700,907015
11710,906675
11720,906539
11730,906652
11740,906699
11750,906509
11760,906371
11770,906247
11780,906364
11790,906510
11800,906926
11810,907128
11820,906753
11830,906633
11840,906625
11850,906845
11860,906611
11870,906430
11880,906559
11890,906823
11900,906864
11910,906925
11920,906716
11930,906693
11940,906737
11950,906568
11960,906428
11970,906107
11980,906197
11990,906482
12000,906489
12010,906738
12020,906761
12030,906899
12040,906901
12050,906965
12060,906990
12070,906998
12080,907001
12090,907173
12100,907075
12110,906956
12120,906851
12130,906790
12140,906660
12150,906476
12160,906370
12170,906404
12180,906346
12190,906377
12200,906431
12210,906776
12220,906911
12230,906935
12240,906834
12250,906884
12260,906887
12270,906821
12280,906991
12290,906844
12300,906564
12310,906315
12320,906482
12330,906538
12340,906664
12350,906701
12360,906828
12370,906712
12380,906730
12390,906899
12400,906761
12410,906361
12420,906397
12430,906561
12440,906950
12450,906863
12460,906716
12470,906720
12480,906875
12490,907166
12500,907061
12510,906754
12520,906486
12530,906479
12540,906641
12550,907067
12560,907129
12570,906918
12580,906566
12590,906836
12600,907141
12610,907190
12620,906850
12630,906601
12640,906671
12650,906587
12660,906697
12670,906827
12680,907168
12690,907451
12700,907307
12710,906938
12720,906494
12730,906356
12740,906586
12750,906755
12760,906928
12770,906917
12780,906626
12790,906264
12800,906410
12810,906808
12820,906681
12830,906573
12840,906438
12850,906757
12860,906966
12870,907071
12880,907223
12890,906783
12900,906758
12910,906742
12920,906749
12930,906518
12940,906547
12950,906385
12960,906364
12970,906491
12980,906690
12990,906682
13000,906551
13010,906872
13020,907097
13030,907104
13040,907124
13050,907084
13060,907103
13070,906780
13080,906410
13090,906380
13100,906691
13110,907046
13120,906772
13130,906247
13140,905994
